Number,Question,Potential Answer,Correct Answer,Ground Truth,Location,Type
1,Statistics involves the science of collecting data.,True/False,True,"Statistics is the science of collecting, organizing, presenting, analyzing, and interpreting data to assist in making more effective decisions.",Page 3,True/False
2,Organizing data is not a part of the statistical process.,True/False,False,"Statistics is the science of collecting, organizing, presenting, analyzing, and interpreting data to assist in making more effective decisions.",Page 3,True/False
3,Presenting data is an important aspect of statistics.,True/False,True,"Statistics is the science of collecting, organizing, presenting, analyzing, and interpreting data to assist in making more effective decisions.",Page 3,True/False
4,Analyzing data is not necessary in statistics.,True/False,False,"Statistics is the science of collecting, organizing, presenting, analyzing, and interpreting data to assist in making more effective decisions.",Page 3,True/False
5,"Descriptive statistics help in organizing, summarizing, and presenting data.",True/False,True,"Descriptive statistics include methods of organizing, summarizing, and presenting data in an informative way.",page 4,True/False
6,Inferential statistics are used to organize masses of unorganized data.,True/False,False,Inferential statistics The methods used to estimate a property of a population on the basis of a sample.,page 5,True/False
7,Descriptive statistics are useful for making unorganized data meaningful.,True/False,True,Descriptive statistics can be used to organize data into a meaningful form,page 4,True/False
8,Descriptive statistics cannot be used to present data in an informative way.,True/False,False,"Descriptive statistics include methods of organizing, summarizing, and presenting data in an informative way.",page 4,True/False
9,Descriptive statistics methods do not include summarizing data.,True/False,False,"Descriptive statistics include methods of organizing, summarizing, and presenting data in an informative way.",page 4,True/False
10,"When using statistics to generate information for decision making, we only use descriptive statistics.",True/False,False,"When we use statistics to generate information for decision making from data, we use either descriptive statistics or inferential statistics",page 4,True/False
11,Descriptive statistics are not useful for the census of population data.,True/False,False,Descriptive statistics can be used to organize  mass data into a meaningful form,page 4,True/False
12,The application of statistics depends on the questions asked and the type of data available.,True/False,True,The application of statistics indeed depends on the questions asked and the type of data available.,page 4,True/False
13,Interpreting data helps in making more effective decisions.,True/False,True,"Statistics is the science of collecting, organizing, presenting, analyzing, and interpreting data to assist in making more effective decisions.",Page 3,True/False
14,"Statistics only focuses on the collection of data, not on its presentation.",True/False,False,"Statistics is the science of collecting, organizing, presenting, analyzing, and interpreting data to assist in making more effective decisions.",Page 3,True/False
15,Inferential statistics involve making decisions based on a limited set of data.,True/False,True,Inferential statistics make decisions based on a limited set of data,Page 5,True/False
16,The population includes the entire set of individuals or objects of interest.,True/False,True,Population is the entire set of individuals or objects of interest or the measurements obtained from all individuals or objects of interest.,Page 5,True/False
17,A sample is a portion of the population of interest.,True/False,True,"Sample is a portion, or part, of the population of interest",Page 5,True/False
18,The ultimate goal of statistics is to assist in decision-making.,True/False,True,"Statistics is the science of collecting, organizing, presenting, analyzing, and interpreting data to assist in making more effective decisions.",Page 3,True/False
